Algoritmo;Radix_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.03063s
Tiempo promedio;0.00103063s
Tiempos individuales (s):
Ejecución 711;0.0009991
Ejecución 712;0.001
Ejecución 713;0.0003273
Ejecución 714;0.0009997
Ejecución 715;0.000531
Ejecución 716;0.0009993
Ejecución 717;0.0010001
Ejecución 718;0.001302
Ejecución 719;0.0006978
Ejecución 720;0.0010047
Ejecución 721;0.0005155
Ejecución 722;0.000986
Ejecución 723;0.0010898
Ejecución 724;0.0006713
Ejecución 725;0.0012826
Ejecución 726;0.004893
Ejecución 727;0.0010049
Ejecución 728;0.0012644
Ejecución 729;0.0009624
Ejecución 730;0.0009973
Ejecución 731;0.0003068
Ejecución 732;0.0009985
Ejecución 733;0.0010014
Ejecución 734;0.0007037
Ejecución 735;0.0004072
Ejecución 736;0.0010021
Ejecución 737;0.0009986
Ejecución 738;0.0003269
Ejecución 739;0.0012877
Ejecución 740;0.0009994
Ejecución 741;0.0009992
Ejecución 742;0.0014999
Ejecución 743;0.0009998
Ejecución 744;0.0012296
Ejecución 745;0.0012759
Ejecución 746;0.0010463
Ejecución 747;0.0009989
Ejecución 748;0.0007938
Ejecución 749;0.0010866
Ejecución 750;0.0009995
Ejecución 751;0.0010094
Ejecución 752;0.0004463
Ejecución 753;0.000999
Ejecución 754;0.001
Ejecución 755;0.0009597
Ejecución 756;0.0010005
Ejecución 757;0.001006
Ejecución 758;0.0012496
Ejecución 759;0.0009996
Ejecución 760;0.0007428
Ejecución 761;0.0009991
Ejecución 762;0.0011667
Ejecución 763;0.0010006
Ejecución 764;0.0054048
Ejecución 765;0.0009985
Ejecución 766;0.001
Ejecución 767;0.0003649
Ejecución 768;0.0013106
Ejecución 769;0.0009994
Ejecución 770;0.0009989
Ejecución 771;0.0005476
Ejecución 772;0.0010082
Ejecución 773;0.0008391
Ejecución 774;0.000998
Ejecución 775;0.001004
Ejecución 776;0.0004121
Ejecución 777;0.0011292
Ejecución 778;0.0012862
Ejecución 779;0.0009998
Ejecución 780;0.0013775
Ejecución 781;0.0010101
Ejecución 782;0.0010013
Ejecución 783;0.001001
Ejecución 784;0.0010062
Ejecución 785;0.0009995
Ejecución 786;0.0013352
Ejecución 787;0.0010001
Ejecución 788;0.0010016
Ejecución 789;0.0009998
Ejecución 790;0.0012468
Ejecución 791;0.0007958
Ejecución 792;0.0009997
Ejecución 793;0.0010009
Ejecución 794;0.0004294
Ejecución 795;0.0010098
Ejecución 796;0.0010004
Ejecución 797;0.0010013
Ejecución 798;0.0012538
Ejecución 799;0.0012014
Ejecución 800;0.0009932
Ejecución 801;0.0009947
Ejecución 802;0.0010065
Ejecución 803;0.0004743
Ejecución 804;0.0005056
Ejecución 805;0.0009999
Ejecución 806;0.0009998
Ejecución 807;0.0010039
Ejecución 808;0.0005021
Ejecución 809;0.0010001
Ejecución 810;0.0010408
Ejecución 811;0.0004869
Ejecución 812;0.0010001
Ejecución 813;0.0010014
Ejecución 814;0.0008904
Ejecución 815;0.0009912
Ejecución 816;0.0003589
Ejecución 817;0.0010937
Ejecución 818;0.000392
Ejecución 819;0.0010631
Ejecución 820;0.0010088
Ejecución 821;0.0010032
Ejecución 822;0.0009945
Ejecución 823;0.0009945
Ejecución 824;0.0007712
Ejecución 825;0.0009983
Ejecución 826;0.000999
Ejecución 827;0.0010071
Ejecución 828;0.0009977
Ejecución 829;0.0010068
Ejecución 830;0.00045
Ejecución 831;0.0012551
Ejecución 832;0.001012
Ejecución 833;0.0004348
Ejecución 834;0.0009997
Ejecución 835;0.0009718
Ejecución 836;0.0010388
Ejecución 837;0.0010076
Ejecución 838;0.0010437
Ejecución 839;0.0009678
Ejecución 840;0.0003284
Ejecución 841;0.0012803
Ejecución 842;0.0006997
Ejecución 843;0.0010041
Ejecución 844;0.0010628
Ejecución 845;0.0009995
Ejecución 846;0.0011657
Ejecución 847;0.0009985
Ejecución 848;0.000759
Ejecución 849;0.0010094
Ejecución 850;0.001001
Ejecución 851;0.0009944
Ejecución 852;0.0009972
Ejecución 853;0.000999
Ejecución 854;0.0009997
Ejecución 855;0.0010043
Ejecución 856;0.0009999
Ejecución 857;0.0010102
Ejecución 858;0.0010069
Ejecución 859;0.0009934
Ejecución 860;0.000664
Ejecución 861;0.0009995
Ejecución 862;0.0010001
Ejecución 863;0.0012827
Ejecución 864;0.0005604
Ejecución 865;0.0010988
Ejecución 866;0.0010035
Ejecución 867;0.0009697
Ejecución 868;0.0004927
Ejecución 869;0.0010008
Ejecución 870;0.0008656
Ejecución 871;0.0010064
Ejecución 872;0.0010001
Ejecución 873;0.0011555
Ejecución 874;0.0004831
Ejecución 875;0.0009986
Ejecución 876;0.0009983
Ejecución 877;0.000326
Ejecución 878;0.0011557
Ejecución 879;0.0009983
Ejecución 880;0.0010002
Ejecución 881;0.0006829
Ejecución 882;0.0009967
Ejecución 883;0.0003316
Ejecución 884;0.0012674
Ejecución 885;0.0010196
Ejecución 886;0.0010092
Ejecución 887;0.0010013
Ejecución 888;0.0005101
Ejecución 889;0.0010064
Ejecución 890;0.0040752
Ejecución 891;0.0004046
Ejecución 892;0.0010159
Ejecución 893;0.0010201
Ejecución 894;0.0009928
Ejecución 895;0.0007101
Ejecución 896;0.0010023
Ejecución 897;0.0010899
Ejecución 898;0.0010159
Ejecución 899;0.0009848
Ejecución 900;0.0010033
Ejecución 901;0.0010081
Ejecución 902;0.0010002
Ejecución 903;0.0009999
Ejecución 904;0.0014023
Ejecución 905;0.000998
Ejecución 906;0.0009985
