Algoritmo;Radix_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.03795s
Tiempo promedio;0.00103795s
Tiempos individuales (s):
Ejecución 441;0.0010065
Ejecución 442;0.0009995
Ejecución 443;0.0003106
Ejecución 444;0.0010071
Ejecución 445;0.0012551
Ejecución 446;0.0009993
Ejecución 447;0.001
Ejecución 448;0.0003746
Ejecución 449;0.0011555
Ejecución 450;0.001
Ejecución 451;0.0013649
Ejecución 452;0.0010446
Ejecución 453;0.000301
Ejecución 454;0.0010024
Ejecución 455;0.0010012
Ejecución 456;0.0005148
Ejecución 457;0.0005128
Ejecución 458;0.0014113
Ejecución 459;0.0010141
Ejecución 460;0.0010016
Ejecución 461;0.0010016
Ejecución 462;0.0009851
Ejecución 463;0.0010011
Ejecución 464;0.0040189
Ejecución 465;0.0010126
Ejecución 466;0.0010049
Ejecución 467;0.0010345
Ejecución 468;0.0010007
Ejecución 469;0.0063519
Ejecución 470;0.0009995
Ejecución 471;0.0010095
Ejecución 472;0.0010119
Ejecución 473;0.0010001
Ejecución 474;0.0041399
Ejecución 475;0.0009997
Ejecución 476;0.0009986
Ejecución 477;0.0006008
Ejecución 478;0.0012252
Ejecución 479;0.0051527
Ejecución 480;0.0009943
Ejecución 481;0.0010062
Ejecución 482;0.0010071
Ejecución 483;0.0003109
Ejecución 484;0.0011775
Ejecución 485;0.0010069
Ejecución 486;0.0013345
Ejecución 487;0.001001
Ejecución 488;0.0008897
Ejecución 489;0.0009989
Ejecución 490;0.0009388
Ejecución 491;0.0003714
Ejecución 492;0.0009283
Ejecución 493;0.0012577
Ejecución 494;0.0041176
Ejecución 495;0.0010068
Ejecución 496;0.0009989
Ejecución 497;0.001001
Ejecución 498;0.0004149
Ejecución 499;0.000999
Ejecución 500;0.0009985
Ejecución 501;0.0010123
Ejecución 502;0.0010069
Ejecución 503;0.001007
Ejecución 504;0.0004863
Ejecución 505;0.0009991
Ejecución 506;0.0012451
Ejecución 507;0.0009997
Ejecución 508;0.0005315
Ejecución 509;0.0010002
Ejecución 510;0.0003522
Ejecución 511;0.000973
Ejecución 512;0.0009982
Ejecución 513;0.0009987
Ejecución 514;0.0004657
Ejecución 515;0.0009988
Ejecución 516;0.0007464
Ejecución 517;0.001
Ejecución 518;0.0012454
Ejecución 519;0.0010003
Ejecución 520;0.0008228
Ejecución 521;0.0009998
Ejecución 522;0.0009992
Ejecución 523;0.000832
Ejecución 524;0.0009926
Ejecución 525;0.0003559
Ejecución 526;0.001
Ejecución 527;0.0005299
Ejecución 528;0.001002
Ejecución 529;0.0009996
Ejecución 530;0.0009992
Ejecución 531;0.0005455
Ejecución 532;0.0010044
Ejecución 533;0.0009034
Ejecución 534;0.0057399
Ejecución 535;0.0010016
Ejecución 536;0.0006101
Ejecución 537;0.0010104
Ejecución 538;0.0013664
Ejecución 539;0.0009959
Ejecución 540;0.0010002
Ejecución 541;0.0010186
Ejecución 542;0.0010066
Ejecución 543;0.0009791
Ejecución 544;0.0004243
Ejecución 545;0.0009997
Ejecución 546;0.000999
Ejecución 547;0.0003732
Ejecución 548;0.0009998
Ejecución 549;0.0009857
