Algoritmo;Insertion_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;16.9540453s
Tiempo promedio;0.0169540s
Tiempos individuales (s):
Ejecución 893;0.0176155
Ejecución 894;0.0176125
Ejecución 895;0.0177184
Ejecución 896;0.0176204
Ejecución 897;0.0175260
Ejecución 898;0.0176247
Ejecución 899;0.0175793
Ejecución 900;0.0176811
Ejecución 901;0.0176304
Ejecución 902;0.0176398
Ejecución 903;0.0174757
Ejecución 904;0.0176166
Ejecución 905;0.0175120
Ejecución 906;0.0175947
Ejecución 907;0.0177376
Ejecución 908;0.0176415
Ejecución 909;0.0177456
Ejecución 910;0.0175583
Ejecución 911;0.0176868
Ejecución 912;0.0176370
Ejecución 913;0.0176859
Ejecución 914;0.0176259
Ejecución 915;0.0176649
Ejecución 916;0.0178049
Ejecución 917;0.0175494
Ejecución 918;0.0176430
Ejecución 919;0.0175579
Ejecución 920;0.0175197
Ejecución 921;0.0176468
Ejecución 922;0.0176935
Ejecución 923;0.0176296
Ejecución 924;0.0175432
Ejecución 925;0.0176958
Ejecución 926;0.0176580
Ejecución 927;0.0175728
Ejecución 928;0.0176068
Ejecución 929;0.0177376
Ejecución 930;0.0177754
Ejecución 931;0.0176634
Ejecución 932;0.0176460
Ejecución 933;0.0175233
Ejecución 934;0.0176201
Ejecución 935;0.0178407
Ejecución 936;0.0175333
Ejecución 937;0.0176301
Ejecución 938;0.0176889
Ejecución 939;0.0176179
Ejecución 940;0.0176699
Ejecución 941;0.0177247
Ejecución 942;0.0175975
Ejecución 943;0.0174908
Ejecución 944;0.0176621
Ejecución 945;0.0188785
Ejecución 946;0.0175931
Ejecución 947;0.0175352
Ejecución 948;0.0177288
Ejecución 949;0.0176544
Ejecución 950;0.0183773
Ejecución 951;0.0175114
Ejecución 952;0.0176498
Ejecución 953;0.0176186
Ejecución 954;0.0176240
Ejecución 955;0.0159761
Ejecución 956;0.0183371
Ejecución 957;0.0171361
Ejecución 958;0.0172526
Ejecución 959;0.0172599
Ejecución 960;0.0174026
Ejecución 961;0.0173687
Ejecución 962;0.0173730
Ejecución 963;0.0176335
Ejecución 964;0.0173878
Ejecución 965;0.0175319
