Algoritmo;Merge_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;0.8371812s
Tiempo promedio;0.0008372s
Tiempos individuales (s):
Ejecución 744;0.0007740
Ejecución 745;0.0007672
Ejecución 746;0.0007620
Ejecución 747;0.0007647
Ejecución 748;0.0007628
Ejecución 749;0.0007704
Ejecución 750;0.0008334
Ejecución 751;0.0007842
Ejecución 752;0.0007838
Ejecución 753;0.0007682
Ejecución 754;0.0008036
Ejecución 755;0.0007662
Ejecución 756;0.0007616
Ejecución 757;0.0007678
Ejecución 758;0.0007646
Ejecución 759;0.0007698
Ejecución 760;0.0007627
Ejecución 761;0.0007840
Ejecución 762;0.0007640
Ejecución 763;0.0007747
Ejecución 764;0.0007762
Ejecución 765;0.0007787
Ejecución 766;0.0008716
Ejecución 767;0.0008360
Ejecución 768;0.0008017
Ejecución 769;0.0008088
Ejecución 770;0.0007997
Ejecución 771;0.0008416
Ejecución 772;0.0007611
Ejecución 773;0.0007670
Ejecución 774;0.0007948
Ejecución 775;0.0007806
Ejecución 776;0.0007634
Ejecución 777;0.0007688
Ejecución 778;0.0007707
Ejecución 779;0.0007585
Ejecución 780;0.0007593
Ejecución 781;0.0007830
Ejecución 782;0.0007795
Ejecución 783;0.0007686
Ejecución 784;0.0007714
Ejecución 785;0.0007811
Ejecución 786;0.0007830
Ejecución 787;0.0007841
Ejecución 788;0.0007845
Ejecución 789;0.0007836
Ejecución 790;0.0007773
Ejecución 791;0.0007857
Ejecución 792;0.0007721
Ejecución 793;0.0007655
Ejecución 794;0.0007825
Ejecución 795;0.0007663
Ejecución 796;0.0007684
Ejecución 797;0.0008484
Ejecución 798;0.0007713
Ejecución 799;0.0007833
Ejecución 800;0.0007827
Ejecución 801;0.0007791
Ejecución 802;0.0007717
Ejecución 803;0.0007726
Ejecución 804;0.0007695
Ejecución 805;0.0007858
Ejecución 806;0.0007627
Ejecución 807;0.0007699
Ejecución 808;0.0007773
Ejecución 809;0.0007659
Ejecución 810;0.0007620
Ejecución 811;0.0007714
Ejecución 812;0.0007826
Ejecución 813;0.0007892
Ejecución 814;0.0007659
Ejecución 815;0.0007800
Ejecución 816;0.0007788
Ejecución 817;0.0007784
Ejecución 818;0.0007808
Ejecución 819;0.0007854
Ejecución 820;0.0007813
Ejecución 821;0.0007784
Ejecución 822;0.0007822
Ejecución 823;0.0007789
Ejecución 824;0.0007757
Ejecución 825;0.0008203
Ejecución 826;0.0007626
Ejecución 827;0.0007580
Ejecución 828;0.0007599
Ejecución 829;0.0008540
Ejecución 830;0.0007622
Ejecución 831;0.0007684
Ejecución 832;0.0007943
Ejecución 833;0.0007728
Ejecución 834;0.0007701
Ejecución 835;0.0008090
Ejecución 836;0.0007693
Ejecución 837;0.0007689
Ejecución 838;0.0007613
Ejecución 839;0.0007688
Ejecución 840;0.0007694
Ejecución 841;0.0007681
Ejecución 842;0.0007649
Ejecución 843;0.0007644
Ejecución 844;0.0007655
Ejecución 845;0.0007984
Ejecución 846;0.0008006
Ejecución 847;0.0007775
Ejecución 848;0.0007745
Ejecución 849;0.0007633
Ejecución 850;0.0007669
Ejecución 851;0.0007822
Ejecución 852;0.0007770
Ejecución 853;0.0007611
Ejecución 854;0.0007690
Ejecución 855;0.0007641
Ejecución 856;0.0008014
Ejecución 857;0.0007639
Ejecución 858;0.0007688
Ejecución 859;0.0007652
Ejecución 860;0.0008366
Ejecución 861;0.0007621
Ejecución 862;0.0007649
Ejecución 863;0.0007620
Ejecución 864;0.0007644
Ejecución 865;0.0007606
Ejecución 866;0.0007806
Ejecución 867;0.0007683
Ejecución 868;0.0007664
Ejecución 869;0.0007607
Ejecución 870;0.0007638
Ejecución 871;0.0007711
Ejecución 872;0.0007658
Ejecución 873;0.0007820
Ejecución 874;0.0007763
Ejecución 875;0.0007964
Ejecución 876;0.0007780
Ejecución 877;0.0008809
Ejecución 878;0.0007682
Ejecución 879;0.0007651
Ejecución 880;0.0007664
Ejecución 881;0.0007623
Ejecución 882;0.0007776
Ejecución 883;0.0007597
Ejecución 884;0.0007636
Ejecución 885;0.0007615
Ejecución 886;0.0007741
Ejecución 887;0.0007900
Ejecución 888;0.0007748
Ejecución 889;0.0007763
Ejecución 890;0.0007707
Ejecución 891;0.0007755
Ejecución 892;0.0007694
Ejecución 893;0.0007762
Ejecución 894;0.0007713
Ejecución 895;0.0007648
Ejecución 896;0.0007659
Ejecución 897;0.0007786
Ejecución 898;0.0007722
Ejecución 899;0.0007704
Ejecución 900;0.0007651
Ejecución 901;0.0007718
Ejecución 902;0.0007742
Ejecución 903;0.0007779
Ejecución 904;0.0007802
Ejecución 905;0.0007764
Ejecución 906;0.0007863
Ejecución 907;0.0008090
Ejecución 908;0.0007649
Ejecución 909;0.0007660
Ejecución 910;0.0008548
