Algoritmo;Merge_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.0619838s
Tiempo promedio;0.0010620s
Tiempos individuales (s):
Ejecución 706;0.0010964
Ejecución 707;0.0011315
Ejecución 708;0.0011147
Ejecución 709;0.0010764
Ejecución 710;0.0010851
Ejecución 711;0.0011117
Ejecución 712;0.0011091
Ejecución 713;0.0010835
Ejecución 714;0.0010762
Ejecución 715;0.0010781
Ejecución 716;0.0011027
Ejecución 717;0.0010919
Ejecución 718;0.0010998
Ejecución 719;0.0013777
Ejecución 720;0.0010628
Ejecución 721;0.0010474
Ejecución 722;0.0010469
Ejecución 723;0.0010662
Ejecución 724;0.0010749
Ejecución 725;0.0010702
Ejecución 726;0.0010988
Ejecución 727;0.0010721
Ejecución 728;0.0010650
Ejecución 729;0.0010734
Ejecución 730;0.0010640
Ejecución 731;0.0010930
Ejecución 732;0.0010992
Ejecución 733;0.0011545
Ejecución 734;0.0010614
Ejecución 735;0.0010656
Ejecución 736;0.0010670
Ejecución 737;0.0010624
Ejecución 738;0.0010690
Ejecución 739;0.0010733
Ejecución 740;0.0010975
Ejecución 741;0.0012063
Ejecución 742;0.0011013
Ejecución 743;0.0010206
Ejecución 744;0.0010115
Ejecución 745;0.0010388
Ejecución 746;0.0010095
Ejecución 747;0.0010018
Ejecución 748;0.0010455
Ejecución 749;0.0010268
Ejecución 750;0.0009986
Ejecución 751;0.0010015
Ejecución 752;0.0010045
Ejecución 753;0.0010028
Ejecución 754;0.0010299
Ejecución 755;0.0009974
Ejecución 756;0.0010089
Ejecución 757;0.0010029
Ejecución 758;0.0010667
Ejecución 759;0.0010021
Ejecución 760;0.0010017
Ejecución 761;0.0010044
Ejecución 762;0.0010047
Ejecución 763;0.0010160
Ejecución 764;0.0010217
Ejecución 765;0.0009973
Ejecución 766;0.0010328
Ejecución 767;0.0010218
Ejecución 768;0.0010224
Ejecución 769;0.0010196
Ejecución 770;0.0010045
Ejecución 771;0.0010009
Ejecución 772;0.0010017
Ejecución 773;0.0010036
Ejecución 774;0.0010344
Ejecución 775;0.0009987
Ejecución 776;0.0010259
Ejecución 777;0.0010857
Ejecución 778;0.0010443
Ejecución 779;0.0010214
Ejecución 780;0.0010241
Ejecución 781;0.0010189
Ejecución 782;0.0010302
Ejecución 783;0.0010148
Ejecución 784;0.0010058
Ejecución 785;0.0009997
Ejecución 786;0.0010054
Ejecución 787;0.0010128
Ejecución 788;0.0010249
Ejecución 789;0.0010215
Ejecución 790;0.0010120
Ejecución 791;0.0010218
Ejecución 792;0.0010115
Ejecución 793;0.0011255
Ejecución 794;0.0011197
Ejecución 795;0.0010797
Ejecución 796;0.0010918
Ejecución 797;0.0010513
Ejecución 798;0.0010571
Ejecución 799;0.0010337
Ejecución 800;0.0011290
Ejecución 801;0.0011183
Ejecución 802;0.0011489
Ejecución 803;0.0010038
Ejecución 804;0.0010171
Ejecución 805;0.0010008
Ejecución 806;0.0010543
Ejecución 807;0.0010344
Ejecución 808;0.0009973
Ejecución 809;0.0010029
Ejecución 810;0.0009949
Ejecución 811;0.0010114
Ejecución 812;0.0010140
Ejecución 813;0.0010150
Ejecución 814;0.0010119
Ejecución 815;0.0010098
Ejecución 816;0.0010041
Ejecución 817;0.0010000
Ejecución 818;0.0010943
Ejecución 819;0.0010270
Ejecución 820;0.0010075
Ejecución 821;0.0010100
