Algoritmo;Heap_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.6601440s
Tiempo promedio;0.0016601s
Tiempos individuales (s):
Ejecución 706;0.0010000
Ejecución 707;0.0015540
Ejecución 708;0.0020095
Ejecución 709;0.0019898
Ejecución 710;0.0009923
Ejecución 711;0.0009876
Ejecución 712;0.0013990
Ejecución 713;0.0020950
Ejecución 714;0.0019925
Ejecución 715;0.0019567
Ejecución 716;0.0010412
Ejecución 717;0.0009899
Ejecución 718;0.0010111
Ejecución 719;0.0019830
Ejecución 720;0.0020079
Ejecución 721;0.0020166
Ejecución 722;0.0019800
Ejecución 723;0.0020055
Ejecución 724;0.0019983
Ejecución 725;0.0015972
Ejecución 726;0.0021612
Ejecución 727;0.0010010
Ejecución 728;0.0013208
Ejecución 729;0.0020098
Ejecución 730;0.0019911
Ejecución 731;0.0020000
Ejecución 732;0.0020002
Ejecución 733;0.0009996
Ejecución 734;0.0018202
Ejecución 735;0.0010082
Ejecución 736;0.0019942
Ejecución 737;0.0020093
Ejecución 738;0.0019884
Ejecución 739;0.0010913
Ejecución 740;0.0019931
Ejecución 741;0.0019985
Ejecución 742;0.0020049
Ejecución 743;0.0019977
Ejecución 744;0.0010875
Ejecución 745;0.0020170
Ejecución 746;0.0019896
Ejecución 747;0.0019942
Ejecución 748;0.0020126
Ejecución 749;0.0014237
Ejecución 750;0.0021028
Ejecución 751;0.0005931
Ejecución 752;0.0009964
Ejecución 753;0.0009895
Ejecución 754;0.0014184
Ejecución 755;0.0020935
Ejecución 756;0.0010050
Ejecución 757;0.0009728
Ejecución 758;0.0019987
Ejecución 759;0.0024329
Ejecución 760;0.0010947
Ejecución 761;0.0009973
Ejecución 762;0.0020030
Ejecución 763;0.0020005
Ejecución 764;0.0020002
Ejecución 765;0.0011036
Ejecución 766;0.0020139
Ejecución 767;0.0019760
Ejecución 768;0.0019959
Ejecución 769;0.0020017
Ejecución 770;0.0022942
Ejecución 771;0.0020032
Ejecución 772;0.0009990
Ejecución 773;0.0009999
Ejecución 774;0.0020966
Ejecución 775;0.0010889
Ejecución 776;0.0020057
Ejecución 777;0.0019944
Ejecución 778;0.0020047
Ejecución 779;0.0019945
Ejecución 780;0.0010879
Ejecución 781;0.0020139
Ejecución 782;0.0019929
Ejecución 783;0.0012423
Ejecución 784;0.0009982
Ejecución 785;0.0009908
Ejecución 786;0.0022633
Ejecución 787;0.0010926
Ejecución 788;0.0020092
Ejecución 789;0.0020031
Ejecución 790;0.0019979
Ejecución 791;0.0015418
Ejecución 792;0.0019906
Ejecución 793;0.0019965
Ejecución 794;0.0019931
Ejecución 795;0.0010166
Ejecución 796;0.0015592
Ejecución 797;0.0020034
Ejecución 798;0.0020107
Ejecución 799;0.0009998
Ejecución 800;0.0009940
Ejecución 801;0.0024369
Ejecución 802;0.0020933
Ejecución 803;0.0020008
Ejecución 804;0.0010186
Ejecución 805;0.0009991
Ejecución 806;0.0014496
Ejecución 807;0.0010926
Ejecución 808;0.0016814
Ejecución 809;0.0020003
Ejecución 810;0.0009979
Ejecución 811;0.0010036
Ejecución 812;0.0024369
Ejecución 813;0.0010996
Ejecución 814;0.0009887
Ejecución 815;0.0009933
Ejecución 816;0.0020011
Ejecución 817;0.0014043
Ejecución 818;0.0009861
Ejecución 819;0.0010104
Ejecución 820;0.0019942
Ejecución 821;0.0019940
Ejecución 822;0.0020020
Ejecución 823;0.0010878
Ejecución 824;0.0019989
Ejecución 825;0.0020037
Ejecución 826;0.0019999
Ejecución 827;0.0023344
Ejecución 828;0.0010950
Ejecución 829;0.0009843
Ejecución 830;0.0019992
Ejecución 831;0.0020032
Ejecución 832;0.0015613
Ejecución 833;0.0025417
Ejecución 834;0.0010872
Ejecución 835;0.0010011
Ejecución 836;0.0009975
Ejecución 837;0.0009691
Ejecución 838;0.0025497
Ejecución 839;0.0020968
Ejecución 840;0.0015409
Ejecución 841;0.0020011
Ejecución 842;0.0020111
Ejecución 843;0.0019929
Ejecución 844;0.0015563
Ejecución 845;0.0019891
Ejecución 846;0.0020045
Ejecución 847;0.0009897
Ejecución 848;0.0009814
Ejecución 849;0.0014768
Ejecución 850;0.0019996
Ejecución 851;0.0020103
Ejecución 852;0.0009978
