Algoritmo;Quick_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.0220329s
Tiempo promedio;0.0010220s
Tiempos individuales (s):
Ejecución 809;0.0009999
Ejecución 810;0.0010102
Ejecución 811;0.0010001
Ejecución 812;0.0010010
Ejecución 813;0.0009988
Ejecución 814;0.0010014
Ejecución 815;0.0009997
Ejecución 816;0.0010001
Ejecución 817;0.0009994
Ejecución 818;0.0013939
Ejecución 819;0.0010119
Ejecución 820;0.0009984
Ejecución 821;0.0010005
Ejecución 822;0.0009998
Ejecución 823;0.0009999
Ejecución 824;0.0010138
Ejecución 825;0.0010001
Ejecución 826;0.0009997
Ejecución 827;0.0010004
Ejecución 828;0.0009994
Ejecución 829;0.0010096
Ejecución 830;0.0010016
Ejecución 831;0.0009990
Ejecución 832;0.0010000
Ejecución 833;0.0010008
Ejecución 834;0.0009990
Ejecución 835;0.0010000
Ejecución 836;0.0010001
Ejecución 837;0.0009995
Ejecución 838;0.0010006
Ejecución 839;0.0010017
Ejecución 840;0.0010008
Ejecución 841;0.0010005
Ejecución 842;0.0009998
Ejecución 843;0.0010004
Ejecución 844;0.0012434
Ejecución 845;0.0010000
Ejecución 846;0.0010002
Ejecución 847;0.0009999
Ejecución 848;0.0010001
Ejecución 849;0.0009997
Ejecución 850;0.0010001
Ejecución 851;0.0010001
Ejecución 852;0.0010003
Ejecución 853;0.0009997
Ejecución 854;0.0010100
Ejecución 855;0.0010008
Ejecución 856;0.0009997
Ejecución 857;0.0009999
Ejecución 858;0.0010007
Ejecución 859;0.0009999
Ejecución 860;0.0009997
Ejecución 861;0.0009997
Ejecución 862;0.0010002
Ejecución 863;0.0013273
Ejecución 864;0.0010106
Ejecución 865;0.0009999
Ejecución 866;0.0010000
Ejecución 867;0.0010003
Ejecución 868;0.0009999
Ejecución 869;0.0010001
Ejecución 870;0.0009996
Ejecución 871;0.0010001
Ejecución 872;0.0010002
Ejecución 873;0.0010012
Ejecución 874;0.0010008
Ejecución 875;0.0010002
Ejecución 876;0.0010010
Ejecución 877;0.0009999
Ejecución 878;0.0009988
Ejecución 879;0.0010001
Ejecución 880;0.0009999
Ejecución 881;0.0010013
Ejecución 882;0.0012787
Ejecución 883;0.0009998
Ejecución 884;0.0009999
Ejecución 885;0.0009997
Ejecución 886;0.0009999
Ejecución 887;0.0010020
Ejecución 888;0.0010005
Ejecución 889;0.0013092
Ejecución 890;0.0010094
Ejecución 891;0.0010014
Ejecución 892;0.0010001
Ejecución 893;0.0010104
Ejecución 894;0.0009894
Ejecución 895;0.0010010
Ejecución 896;0.0009991
Ejecución 897;0.0010004
Ejecución 898;0.0013455
Ejecución 899;0.0010104
Ejecución 900;0.0010000
Ejecución 901;0.0010001
Ejecución 902;0.0009999
Ejecución 903;0.0009997
Ejecución 904;0.0010003
Ejecución 905;0.0009997
Ejecución 906;0.0010004
Ejecución 907;0.0009999
Ejecución 908;0.0010110
Ejecución 909;0.0009989
Ejecución 910;0.0010010
Ejecución 911;0.0009997
Ejecución 912;0.0009997
Ejecución 913;0.0010152
Ejecución 914;0.0010011
Ejecución 915;0.0009985
Ejecución 916;0.0010013
Ejecución 917;0.0013035
Ejecución 918;0.0010002
Ejecución 919;0.0009995
Ejecución 920;0.0010003
Ejecución 921;0.0010003
Ejecución 922;0.0009997
Ejecución 923;0.0010000
Ejecución 924;0.0009999
Ejecución 925;0.0010004
Ejecución 926;0.0003024
Ejecución 927;0.0010106
Ejecución 928;0.0010007
Ejecución 929;0.0009991
Ejecución 930;0.0009998
Ejecución 931;0.0010002
