Algoritmo;Quick_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;2.2558706s
Tiempo promedio;0.0022559s
Tiempos individuales (s):
Ejecución 806;0.0031047
Ejecución 807;0.0021739
Ejecución 808;0.0020928
Ejecución 809;0.0026510
Ejecución 810;0.0019938
Ejecución 811;0.0025247
Ejecución 812;0.0020065
Ejecución 813;0.0019969
Ejecución 814;0.0030006
Ejecución 815;0.0020950
Ejecución 816;0.0030045
Ejecución 817;0.0019987
Ejecución 818;0.0014348
Ejecución 819;0.0019887
Ejecución 820;0.0020980
Ejecución 821;0.0019853
Ejecución 822;0.0015485
Ejecución 823;0.0019811
Ejecución 824;0.0019978
Ejecución 825;0.0030122
Ejecución 826;0.0021013
Ejecución 827;0.0017153
Ejecución 828;0.0020863
Ejecución 829;0.0020024
Ejecución 830;0.0025423
Ejecución 831;0.0019923
Ejecución 832;0.0019972
Ejecución 833;0.0015307
Ejecución 834;0.0019941
Ejecución 835;0.0020928
Ejecución 836;0.0019997
Ejecución 837;0.0024391
Ejecución 838;0.0020049
Ejecución 839;0.0019880
Ejecución 840;0.0030065
Ejecución 841;0.0021082
Ejecución 842;0.0029926
Ejecución 843;0.0026106
Ejecución 844;0.0025409
Ejecución 845;0.0020934
Ejecución 846;0.0019983
Ejecución 847;0.0030068
Ejecución 848;0.0025975
Ejecución 849;0.0019917
Ejecución 850;0.0020158
Ejecución 851;0.0020968
Ejecución 852;0.0023718
Ejecución 853;0.0020414
Ejecución 854;0.0020035
Ejecución 855;0.0024528
Ejecución 856;0.0020992
Ejecución 857;0.0028810
Ejecución 858;0.0029991
Ejecución 859;0.0026694
Ejecución 860;0.0019808
Ejecución 861;0.0015912
Ejecución 862;0.0019931
Ejecución 863;0.0021025
Ejecución 864;0.0016104
Ejecución 865;0.0019227
Ejecución 866;0.0020551
Ejecución 867;0.0019842
Ejecución 868;0.0019992
Ejecución 869;0.0020040
Ejecución 870;0.0029994
Ejecución 871;0.0020016
Ejecución 872;0.0020928
Ejecución 873;0.0020937
Ejecución 874;0.0020949
Ejecución 875;0.0030004
Ejecución 876;0.0019957
Ejecución 877;0.0025395
Ejecución 878;0.0022097
Ejecución 879;0.0020052
Ejecución 880;0.0029923
Ejecución 881;0.0025217
Ejecución 882;0.0029974
Ejecución 883;0.0020107
Ejecución 884;0.0024166
Ejecución 885;0.0020953
Ejecución 886;0.0020463
Ejecución 887;0.0029994
Ejecución 888;0.0024482
Ejecución 889;0.0021049
Ejecución 890;0.0020016
Ejecución 891;0.0020501
Ejecución 892;0.0024033
Ejecución 893;0.0020580
Ejecución 894;0.0030029
Ejecución 895;0.0020045
Ejecución 896;0.0014358
Ejecución 897;0.0020029
Ejecución 898;0.0020044
Ejecución 899;0.0030012
Ejecución 900;0.0020939
Ejecución 901;0.0025909
Ejecución 902;0.0020914
Ejecución 903;0.0024182
Ejecución 904;0.0020985
Ejecución 905;0.0020024
Ejecución 906;0.0029876
Ejecución 907;0.0025469
Ejecución 908;0.0020142
Ejecución 909;0.0019971
Ejecución 910;0.0024174
Ejecución 911;0.0021057
Ejecución 912;0.0020551
Ejecución 913;0.0020021
Ejecución 914;0.0024189
Ejecución 915;0.0020875
Ejecución 916;0.0020186
Ejecución 917;0.0019735
Ejecución 918;0.0024300
Ejecución 919;0.0022950
Ejecución 920;0.0020164
Ejecución 921;0.0019935
Ejecución 922;0.0013525
Ejecución 923;0.0019826
Ejecución 924;0.0020656
Ejecución 925;0.0024332
Ejecución 926;0.0020992
Ejecución 927;0.0019831
Ejecución 928;0.0019933
Ejecución 929;0.0015210
Ejecución 930;0.0020050
Ejecución 931;0.0030000
Ejecución 932;0.0032577
Ejecución 933;0.0021035
Ejecución 934;0.0019897
Ejecución 935;0.0029935
Ejecución 936;0.0026863
Ejecución 937;0.0020884
Ejecución 938;0.0027149
Ejecución 939;0.0029903
Ejecución 940;0.0024206
Ejecución 941;0.0020940
Ejecución 942;0.0019906
Ejecución 943;0.0020327
Ejecución 944;0.0020965
Ejecución 945;0.0021012
Ejecución 946;0.0020165
Ejecución 947;0.0024634
Ejecución 948;0.0020938
Ejecución 949;0.0019962
Ejecución 950;0.0029990
Ejecución 951;0.0023981
Ejecución 952;0.0019840
Ejecución 953;0.0019987
Ejecución 954;0.0025496
Ejecución 955;0.0020880
Ejecución 956;0.0019992
Ejecución 957;0.0029977
Ejecución 958;0.0024415
Ejecución 959;0.0030947
Ejecución 960;0.0020019
Ejecución 961;0.0019837
Ejecución 962;0.0024222
Ejecución 963;0.0019950
Ejecución 964;0.0030113
Ejecución 965;0.0019823
Ejecución 966;0.0024547
