Algoritmo;Bucket_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Vale
Tiempo total;1.70921s
Tiempo promedio;0.00170921s
Tiempos individuales (s):
Ejecución 707;0.0020058
Ejecución 708;0.000984
Ejecución 709;0.0009917
Ejecución 710;0.0010001
Ejecución 711;0.0010006
Ejecución 712;0.0010022
Ejecución 713;0.0020073
Ejecución 714;0.0020057
Ejecución 715;0.0019942
Ejecución 716;0.0020007
Ejecución 717;0.0019997
Ejecución 718;0.0020023
Ejecución 719;0.0019982
Ejecución 720;0.0020008
Ejecución 721;0.0020023
Ejecución 722;0.0019977
Ejecución 723;0.0019924
Ejecución 724;0.0020083
Ejecución 725;0.0020003
Ejecución 726;0.0020038
Ejecución 727;0.0009876
Ejecución 728;0.0009916
Ejecución 729;0.0009972
Ejecución 730;0.0010013
Ejecución 731;0.0010008
Ejecución 732;0.0010072
Ejecución 733;0.0020026
Ejecución 734;0.0020008
Ejecución 735;0.0019979
Ejecución 736;0.002
Ejecución 737;0.0020009
Ejecución 738;0.0020032
Ejecución 739;0.0009885
Ejecución 740;0.0009809
Ejecución 741;0.0009929
Ejecución 742;0.0010007
Ejecución 743;0.0010077
Ejecución 744;0.0020005
Ejecución 745;0.0020022
Ejecución 746;0.0020008
Ejecución 747;0.0020104
Ejecución 748;0.0019877
Ejecución 749;0.0020004
Ejecución 750;0.0009928
Ejecución 751;0.0010033
Ejecución 752;0.0010106
Ejecución 753;0.0009979
Ejecución 754;0.0020095
Ejecución 755;0.0020059
Ejecución 756;0.0019982
Ejecución 757;0.0019993
Ejecución 758;0.001999
Ejecución 759;0.0019992
Ejecución 760;0.0019993
Ejecución 761;0.0020013
Ejecución 762;0.0009912
Ejecución 763;0.000988
Ejecución 764;0.0009985
Ejecución 765;0.0010072
Ejecución 766;0.0010435
Ejecución 767;0.002001
Ejecución 768;0.0019986
Ejecución 769;0.0020006
Ejecución 770;0.0020007
Ejecución 771;0.0020001
Ejecución 772;0.0019986
Ejecución 773;0.0009946
Ejecución 774;0.000992
Ejecución 775;0.0009972
Ejecución 776;0.0009979
Ejecución 777;0.0009984
Ejecución 778;0.0020005
Ejecución 779;0.002001
Ejecución 780;0.0020006
Ejecución 781;0.002005
Ejecución 782;0.0019939
Ejecución 783;0.0020004
Ejecución 784;0.0010019
Ejecución 785;0.0010048
Ejecución 786;0.0009999
Ejecución 787;0.0009974
Ejecución 788;0.0010061
Ejecución 789;0.0020004
Ejecución 790;0.0020002
Ejecución 791;0.0020091
Ejecución 792;0.001991
Ejecución 793;0.0020106
Ejecución 794;0.002011
Ejecución 795;0.001988
Ejecución 796;0.0020125
Ejecución 797;0.0029988
Ejecución 798;0.002001
Ejecución 799;0.0020114
Ejecución 800;0.0019981
Ejecución 801;0.0019996
Ejecución 802;0.0020024
Ejecución 803;0.0009902
Ejecución 804;0.0019962
Ejecución 805;0.0019999
Ejecución 806;0.0020051
Ejecución 807;0.0009888
Ejecución 808;0.0009944
Ejecución 809;0.0009892
Ejecución 810;0.0009982
Ejecución 811;0.0010052
Ejecución 812;0.001998
Ejecución 813;0.0020016
Ejecución 814;0.0019983
Ejecución 815;0.0020036
Ejecución 816;0.0019969
Ejecución 817;0.0020004
Ejecución 818;0.0020003
Ejecución 819;0.0020002
Ejecución 820;0.0020011
Ejecución 821;0.0019992
Ejecución 822;0.0020007
Ejecución 823;0.0020002
Ejecución 824;0.002
Ejecución 825;0.0020015
Ejecución 826;0.0020008
Ejecución 827;0.0019993
Ejecución 828;0.0009943
Ejecución 829;0.0009946
Ejecución 830;0.0010006
Ejecución 831;0.0010075
Ejecución 832;0.0009982
Ejecución 833;0.0020087
Ejecución 834;0.0020056
Ejecución 835;0.0019952
Ejecución 836;0.0020003
Ejecución 837;0.0019932
Ejecución 838;0.002008
Ejecución 839;0.0020005
Ejecución 840;0.0020034
Ejecución 841;0.0019981
Ejecución 842;0.0010016
Ejecución 843;0.0019992
Ejecución 844;0.0020039
Ejecución 845;0.001997
Ejecución 846;0.0020004
Ejecución 847;0.0020037
Ejecución 848;0.001997
Ejecución 849;0.0019996
Ejecución 850;0.0020011
Ejecución 851;0.0010031
Ejecución 852;0.0009979
Ejecución 853;0.0010007
Ejecución 854;0.002
Ejecución 855;0.0020008
Ejecución 856;0.0020034
Ejecución 857;0.0019977
Ejecución 858;0.0020022
Ejecución 859;0.002001
Ejecución 860;0.0019975
Ejecución 861;0.0019994
Ejecución 862;0.0020061
Ejecución 863;0.0010007
Ejecución 864;0.0010084
Ejecución 865;0.0010026
Ejecución 866;0.0020087
Ejecución 867;0.001996
Ejecución 868;0.0009981
Ejecución 869;0.0010031
Ejecución 870;0.0010022
Ejecución 871;0.0010021
Ejecución 872;0.0010025
Ejecución 873;0.0009952
Ejecución 874;0.0020011
Ejecución 875;0.0010001
Ejecución 876;0.0010029
Ejecución 877;0.0019973
Ejecución 878;0.0020035
Ejecución 879;0.0019984
Ejecución 880;0.0020014
Ejecución 881;0.0019974
Ejecución 882;0.0020002
Ejecución 883;0.0020024
Ejecución 884;0.0010331
Ejecución 885;0.0010001
Ejecución 886;0.0010008
Ejecución 887;0.0019678
Ejecución 888;0.0020332
Ejecución 889;0.0020035
Ejecución 890;0.0019995
Ejecución 891;0.0019998
Ejecución 892;0.0019985
Ejecución 893;0.0009985
Ejecución 894;0.0009983
Ejecución 895;0.0020006
Ejecución 896;0.001998
Ejecución 897;0.0019997
Ejecución 898;0.0020043
Ejecución 899;0.0019962
Ejecución 900;0.0009668
Ejecución 901;0.0019998
Ejecución 902;0.0020002
Ejecución 903;0.0020018
Ejecución 904;0.0020009
Ejecución 905;0.0020007
Ejecución 906;0.0010007
Ejecución 907;0.0020369
Ejecución 908;0.0019999
Ejecución 909;0.001966
Ejecución 910;0.002032
Ejecución 911;0.0019669
Ejecución 912;0.0059998
Ejecución 913;0.0020052
Ejecución 914;0.0020021
Ejecución 915;0.003
Ejecución 916;0.0020006
Ejecución 917;0.0019987
Ejecución 918;0.0030031
Ejecución 919;0.0019981
Ejecución 920;0.0030004
Ejecución 921;0.0020003
Ejecución 922;0.0019998
Ejecución 923;0.0020016
Ejecución 924;0.0019991
Ejecución 925;0.0020014
Ejecución 926;0.002005
Ejecución 927;0.0020119
Ejecución 928;0.0019999
Ejecución 929;0.0019999
Ejecución 930;0.0020331
Ejecución 931;0.0019663
Ejecución 932;0.001967
Ejecución 933;0.0020003
